Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Clementi 321,Ne-Zha-2-PG13,2025-03-10T18:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6023,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,24,24,6,6,0,2,0,0,30,32,62,0.48
Clementi 321,Mobile-Suit-Gundam-GQuuuuuuX--Beginning-PG13,2025-03-10T18:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6016,"Anime, Action, Sci-Fi",Japanese,"PG13, Brief Nudity and Battle Scenes",82 mins,27-Feb-25,0,48,0,12,0,2,0,0,0,62,62,0
Century Square,Papa-M18,2025-03-10T18:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1113/13239,Drama,Mandarin,"M18, Sexual Scene and Some Coarse Language",130 mins,1-Feb-25,6,94,0,10,0,2,0,4,6,110,116,0.05
Century Square,Ne-Zha-2-PG13,2025-03-10T18:15:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1113/13220,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,5,95,2,2,0,2,0,4,7,103,110,0.06
Causeway Point,Ne-Zha-2-PG13,2025-03-10T18:20:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154351,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,30,172,8,34,0,2,0,0,38,208,246,0.15
JEM,Ne-Zha-2-PG13,2025-03-10T18:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201787,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,39,135,16,20,0,1,0,0,55,156,211,0.26
Causeway Point,Mickey-17-M18,2025-03-10T18:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154381,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,6-Mar-25,4,125,0,30,0,0,0,0,4,155,159,0.03
JEM,In-the-Lost-Lands-NC16,2025-03-10T18:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201873,"Action, Fantasy",English,"NC16, Violence",101 mins,6-Mar-25,1,173,2,34,0,1,0,0,3,208,211,0.01
Causeway Point,Ne-Zha-2-PG13,2025-03-10T18:50:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154376,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,23,121,20,24,0,0,0,0,43,145,188,0.23
JEM,Ex-Ex-Lovers-PG13,2025-03-10T18:50:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201880,"Romance, Comedy",Tagalog,"PG13, Some Coarse Language",107 mins,6-Mar-25,8,118,2,30,0,0,0,0,10,148,158,0.06
