Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Clementi 321,Novocaine-NC16,2025-03-24T12:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6544,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,62,0,20,0,2,0,0,0,84,84,0.0
Century Square,Ne-Zha-2-PG13,2025-03-24T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13697,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,5,95,0,10,0,2,0,4,5,111,116,0.04
Downtown East,Ne-Zha-2-PG13,2025-03-24T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118510,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,130,8,34,0,2,0,0,14,166,180,0.08
JEM,Ne-Zha-2-PG13,2025-03-24T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202568,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,5,169,6,30,0,1,0,0,11,200,211,0.05
Century Square,Novocaine-NC16,2025-03-24T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13713,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,98,0,4,0,2,0,4,0,108,108,0.0
Clementi 321,Dog-Man-PG,2025-03-24T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6540,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,48,0,12,0,2,0,0,0,62,62,0.0
Century Square,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-24T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13712,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,4,94,0,4,0,2,0,4,4,104,108,0.04
Causeway Point,Ne-Zha-2-PG13,2025-03-24T13:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154958,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,11,191,2,40,0,2,0,0,13,233,246,0.05
Clementi 321,Ne-Zha-2-PG13,2025-03-24T13:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6537,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,59,1,19,0,2,0,0,4,80,84,0.05
Downtown East,Presence-M18,2025-03-24T13:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118513,"Horror, Thriller",English,"M18, Sexual Scene and Coarse Language",85 mins,20 Mar 2025,1,123,0,44,0,2,0,0,1,169,170,0.01
Century Square,Ne-Zha-2-PG13,2025-03-24T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13704,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,100,0,10,0,2,0,4,0,116,116,0.0
Clementi 321,Ne-Zha-2-PG13,2025-03-24T13:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1114/6620,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,23,0,0,0,0,0,0,1,23,24,0.04
JEM,Ne-Zha-2-PG13,2025-03-24T13:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202501,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,4,17,0,0,0,0,4,19,23,0.17
Downtown East,Novocaine-NC16,2025-03-24T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118500,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,68,0,40,0,1,0,0,0,109,109,0.0
JEM,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-24T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202642,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,1,125,2,30,0,0,0,0,3,155,158,0.02
Causeway Point,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-24T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154975,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,13,117,0,28,0,0,0,0,13,145,158,0.08
Downtown East,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-24T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118562,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,4,92,2,38,0,1,0,0,6,131,137,0.04
Downtown East,Ne-Zha-2-PG13,2025-03-24T13:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118497,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,170,0,50,0,2,0,0,6,222,228,0.03
JEM,Ne-Zha-2-PG13,2025-03-24T13:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202747,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,14,204,10,54,0,1,0,0,24,259,283,0.08
Clementi 321,Mickey-17-M18,2025-03-24T13:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6645,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,2,46,0,12,0,2,0,0,2,60,62,0.03
Clementi 321,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-24T13:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6558,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,0,66,0,18,0,2,0,0,0,86,86,0.0
Causeway Point,Ne-Zha-2-PG13,2025-03-24T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154966,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,119,2,52,0,2,0,0,9,173,182,0.05
